2022-03-07T10:17:49+00:00 server_name:dashboard.sgtest.xyz remote_port:56024 remote_addr:192.168.107.113 forwardedfor:- req:GET /public/build/runtime.b86cc30c452b708f8c31.js HTTP/1.1 http_status:200 size:5718 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.005 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.004
2022-03-07T10:17:49+00:00 server_name:dashboard.sgtest.xyz remote_port:59211 remote_addr:192.168.107.113 forwardedfor:- req:GET /public/build/app.b86cc30c452b708f8c31.js HTTP/1.1 http_status:200 size:505278 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.055 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.056
2022-03-07T10:17:49+00:00 server_name:dashboard.sgtest.xyz remote_port:56022 remote_addr:192.168.107.113 forwardedfor:- req:GET /public/build/5893.b86cc30c452b708f8c31.js HTTP/1.1 http_status:200 size:2610184 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.165 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.138
2022-03-07T10:17:49+00:00 server_name:dashboard.sgtest.xyz remote_port:56026 remote_addr:192.168.107.113 forwardedfor:- req:GET /public/build/789.b86cc30c452b708f8c31.js HTTP/1.1 http_status:200 size:3837713 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.184 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.143
2022-03-07T10:17:50+00:00 server_name:dashboard.sgtest.xyz remote_port:56026 remote_addr:192.168.107.113 forwardedfor:- req:GET /public/img/g8_login_dark.svg HTTP/1.1 http_status:200 size:2361 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.011 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.011
2022-03-07T10:17:50+00:00 server_name:dashboard.sgtest.xyz remote_port:56026 remote_addr:192.168.107.113 forwardedfor:- req:GET /public/img/fav32.png HTTP/1.1 http_status:200 size:1118 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.010 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.010
2022-03-07T10:17:52+00:00 server_name:dashboard.sgtest.xyz remote_port:56026 remote_addr:192.168.107.113 forwardedfor:- req:GET /login HTTP/1.1 http_status:200 size:28284 referer:- agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.007 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.006
2022-03-07T10:17:57+00:00 server_name:dashboard.sgtest.xyz remote_port:56026 remote_addr:192.168.107.113 forwardedfor:- req:POST /login HTTP/1.1 http_status:401 size:42 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.050 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.050
2022-03-07T10:18:00+00:00 server_name:dashboard.sgtest.xyz remote_port:56026 remote_addr:192.168.107.113 forwardedfor:- req:POST /login HTTP/1.1 http_status:200 size:41 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.054 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.054
2022-03-07T10:18:00+00:00 server_name:dashboard.sgtest.xyz remote_port:56026 remote_addr:192.168.107.113 forwardedfor:- req:GET / HTTP/1.1 http_status:200 size:34460 referer:https://dashboard.sgtest.xyz/login agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.045 host:dashboard.sgtest.xyz upstream_addr:172.18.0.7:3000 upstream_response_time:0.045
