2022-03-07T13:34:02+00:00 server_name:prom.sgtest.xyz remote_port:34429 remote_addr:192.168.2.254 forwardedfor:- req:GET /static/css/main.faad45b4.css HTTP/1.1 http_status:200 size:411722 referer:https://prom.sgtest.xyz/rules agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.312 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.007
2022-03-07T13:34:02+00:00 server_name:prom.sgtest.xyz remote_port:34426 remote_addr:192.168.2.254 forwardedfor:- req:GET /-/ready HTTP/1.1 http_status:200 size:21 referer:https://prom.sgtest.xyz/rules agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.001 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T13:34:02+00:00 server_name:prom.sgtest.xyz remote_port:34429 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/rules HTTP/1.1 http_status:200 size:3322 referer:https://prom.sgtest.xyz/rules agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.005 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.004
2022-03-07T13:34:02+00:00 server_name:prom.sgtest.xyz remote_port:34429 remote_addr:192.168.2.254 forwardedfor:- req:GET /favicon.ico HTTP/1.1 http_status:200 size:15086 referer:https://prom.sgtest.xyz/rules agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.001
2022-03-07T13:34:06+00:00 server_name:prom.sgtest.xyz remote_port:34429 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/query?query=100+-+%28avg+by%28instance%29+%28rate%28node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B2m%5D%29%29+*+100%29+%3E+80&time=1646660046.951 HTTP/1.1 http_status:200 size:87 referer:https://prom.sgtest.xyz/graph?g0.expr=100%20-%20(avg%20by(instance)%20(rate(node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B2m%5D))%20*%20100)%20%3E%2080&g0.tab=1&g0.stacked=0&g0.show_exemplars=0.g0.range_input=1h. agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.003 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T13:34:06+00:00 server_name:prom.sgtest.xyz remote_port:34426 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/query?query=time() HTTP/1.1 http_status:200 size:104 referer:https://prom.sgtest.xyz/graph?g0.expr=100%20-%20(avg%20by(instance)%20(rate(node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B2m%5D))%20*%20100)%20%3E%2080&g0.tab=1&g0.stacked=0&g0.show_exemplars=0.g0.range_input=1h. agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T13:34:06+00:00 server_name:prom.sgtest.xyz remote_port:34429 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/label/__name__/values HTTP/1.1 http_status:200 size:1855 referer:https://prom.sgtest.xyz/graph?g0.expr=100%20-%20(avg%20by(instance)%20(rate(node_cpu_seconds_total%7Bmode%3D%22idle%22%7D%5B2m%5D))%20*%20100)%20%3E%2080&g0.tab=1&g0.stacked=0&g0.show_exemplars=0.g0.range_input=1h. agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.004 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.003
2022-03-07T13:34:19+00:00 server_name:prom.sgtest.xyz remote_port:24974 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/query?query=node_cpu_seconds_total%7Bmode%3D%22idle%22%7D&time=1646660059.871 HTTP/1.1 http_status:200 size:87 referer:https://prom.sgtest.xyz/graph?g0.expr=node_cpu_seconds_total%7Bmode%3D%22idle%22%7D&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.003 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.003
2022-03-07T13:34:25+00:00 server_name:prom.sgtest.xyz remote_port:24974 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/metadata HTTP/1.1 http_status:200 size:5215 referer:https://prom.sgtest.xyz/graph?g0.expr=node_cpu_seconds_total%7Bmode%3D%22idle%22%7D&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.007 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.007
2022-03-07T13:34:26+00:00 server_name:prom.sgtest.xyz remote_port:24974 remote_addr:192.168.2.254 forwardedfor:- req:GET /static/media/codicon.b3726f0165bf67ac6849.ttf HTTP/1.1 http_status:200 size:61024 referer:https://prom.sgtest.xyz/static/css/main.faad45b4.css agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.020 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.005
2022-03-07T13:34:35+00:00 server_name:prom.sgtest.xyz remote_port:24974 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/targets?state=active HTTP/1.1 http_status:200 size:327 referer:https://prom.sgtest.xyz/targets agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.003 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T13:34:55+00:00 server_name:prom.sgtest.xyz remote_port:24974 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/rules?type=alert HTTP/1.1 http_status:200 size:3338 referer:https://prom.sgtest.xyz/alerts agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.006 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.006
2022-03-07T13:34:56+00:00 server_name:prom.sgtest.xyz remote_port:24974 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/label/__name__/values HTTP/1.1 http_status:200 size:1855 referer:https://prom.sgtest.xyz/graph?g0.expr=&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.004 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.003
2022-03-07T13:34:56+00:00 server_name:prom.sgtest.xyz remote_port:24974 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/query?query=time() HTTP/1.1 http_status:200 size:104 referer:https://prom.sgtest.xyz/graph?g0.expr=&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.002 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.002
2022-03-07T13:34:58+00:00 server_name:prom.sgtest.xyz remote_port:25009 remote_addr:192.168.2.254 forwardedfor:- req:GET /api/v1/metadata HTTP/1.1 http_status:200 size:5215 referer:https://prom.sgtest.xyz/graph?g0.expr=&g0.tab=1&g0.stacked=0&g0.show_exemplars=0&g0.range_input=1h agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 reqtime:0.005 host:prom.sgtest.xyz upstream_addr:172.18.0.5:9090 upstream_response_time:0.006
